"","Data Type","Census Tract","Age","Population","Sex","Number of Individuals"
"370","Estimate",970504,"10 to 14 years","152","Female","968"
"371","Estimate",970504,"15 to 19 years","113","Male","893"
"372","Estimate",970504,"15 to 19 years","113","Female","968"
"373","Estimate",970504,"20 to 24 years","12","Male","893"
"374","Estimate",970504,"20 to 24 years","12","Female","968"
"375","Estimate",970504,"25 to 34 years","135","Male","893"
"376","Estimate",970504,"25 to 34 years","135","Female","968"
"377","Estimate",970504,"35 to 44 years","256","Male","893"
"378","Estimate",970504,"35 to 44 years","256","Female","968"
"379","Estimate",970504,"45 to 54 years","370","Male","893"
"380","Estimate",970504,"45 to 54 years","370","Female","968"
"381","Estimate",970504,"55 to 59 years","76","Male","893"
"382","Estimate",970504,"55 to 59 years","76","Female","968"
"383","Estimate",970504,"60 to 64 years","139","Male","893"
"384","Estimate",970504,"60 to 64 years","139","Female","968"
"385","Estimate",970504,"65 to 74 years","255","Male","893"
"386","Estimate",970504,"65 to 74 years","255","Female","968"
"387","Estimate",970504,"75 to 84 years","47","Male","893"
"388","Estimate",970504,"75 to 84 years","47","Female","968"
"389","Estimate",970504,"85 years and over","18","Male","893"
"390","Estimate",970504,"85 years and over","18","Female","968"
"391","Estimate",970504,"Median age (years)","44.5","Male","893"
"392","Estimate",970504,"Median age (years)","44.5","Female","968"
"393","Estimate",970601,"Under 5 years","84","Male","542"
"394","Estimate",970601,"Under 5 years","84","Female","528"
"395","Estimate",970601,"5 to 9 years","32","Male","542"
"396","Estimate",970601,"5 to 9 years","32","Female","528"
"397","Estimate",970601,"10 to 14 years","70","Male","542"
"398","Estimate",970601,"10 to 14 years","70","Female","528"
"399","Estimate",970601,"15 to 19 years","64","Male","542"
"400","Estimate",970601,"15 to 19 years","64","Female","528"
"401","Estimate",970601,"20 to 24 years","31","Male","542"
"402","Estimate",970601,"20 to 24 years","31","Female","528"
"403","Estimate",970601,"25 to 34 years","41","Male","542"
"404","Estimate",970601,"25 to 34 years","41","Female","528"
"405","Estimate",970601,"35 to 44 years","150","Male","542"
"406","Estimate",970601,"35 to 44 years","150","Female","528"
"407","Estimate",970601,"45 to 54 years","132","Male","542"
"408","Estimate",970601,"45 to 54 years","132","Female","528"
"409","Estimate",970601,"55 to 59 years","105","Male","542"
"410","Estimate",970601,"55 to 59 years","105","Female","528"
"411","Estimate",970601,"60 to 64 years","94","Male","542"
"412","Estimate",970601,"60 to 64 years","94","Female","528"
"413","Estimate",970601,"65 to 74 years","182","Male","542"
"414","Estimate",970601,"65 to 74 years","182","Female","528"
"415","Estimate",970601,"75 to 84 years","69","Male","542"
"416","Estimate",970601,"75 to 84 years","69","Female","528"
"417","Estimate",970601,"85 years and over","16","Male","542"
"418","Estimate",970601,"85 years and over","16","Female","528"
"419","Estimate",970601,"Median age (years)","49.1","Male","542"
"420","Estimate",970601,"Median age (years)","49.1","Female","528"
"421","Estimate",970602,"Under 5 years","62","Male","633"
"422","Estimate",970602,"Under 5 years","62","Female","472"
"423","Estimate",970602,"5 to 9 years","4","Male","633"
"424","Estimate",970602,"5 to 9 years","4","Female","472"
"425","Estimate",970602,"10 to 14 years","32","Male","633"
"426","Estimate",970602,"10 to 14 years","32","Female","472"
"427","Estimate",970602,"15 to 19 years","63","Male","633"
"428","Estimate",970602,"15 to 19 years","63","Female","472"
"429","Estimate",970602,"20 to 24 years","66","Male","633"
"430","Estimate",970602,"20 to 24 years","66","Female","472"
